Glioma	Barrett Esophagus	Atherosclerosis	Neoplasms	Periodontitis	Prostatic Neoplasms	Fragile X Syndrome	Alzheimer Disease	Myositis, Inclusion Body	Melanoma	Breast Neoplasms	Huntington Disease	Testicular Neoplasms	Endometrial Neoplasms	Esophageal Squamous Cell Carcinoma	Aortic Aneurysm, Abdominal	Aortic Rupture	Neoplasms, Basal Cell	Myocardial Ischemia	Diabetes Mellitus	Endometriosis	Intracranial Aneurysm	Frailty	Glaucoma	Leukemia	Myocardial Infarction	Nasopharyngeal Carcinoma	Neurofibromatoses	Peripheral Arterial Disease	Neurofibroma, Plexiform	Stroke	Diabetes Mellitus, Type 2	Colorectal Neoplasms	Bone Diseases	Muscular Dystrophy, Facioscapulohumeral	Leukemia, Lymphocytic, Chronic, B-Cell	Leukemia, Lymphoid	Lymphoma	Ovarian Neoplasms	Carcinoma, Embryonal	Kidney Neoplasms	Adrenocortical Carcinoma	Beckwith-Wiedemann Syndrome	Hydatidiform Mole	Uterine Cervical Neoplasms	Choriocarcinoma	Colonic Neoplasms	Congenital Hyperinsulinism	Glioblastoma	Hyperhomocysteinemia	Infertility	Liver Neoplasms	Neuroectodermal Tumors, Primitive	Meningioma	Neural Tube Defects	Neuroblastoma	Obesity	Pheochromocytoma	Pituitary Neoplasms	Prader-Willi Syndrome	Pre-Eclampsia	Silver-Russell Syndrome	Adenocarcinoma	Pancreatic Neoplasms	Arthritis, Rheumatoid	Multiple Sclerosis	Diabetes Mellitus, Type 1	Muscular Dystrophy, Duchenne	Narcolepsy	Parkinson Disease	Neoplasms, Bone Tissue	Gallbladder Neoplasms	Leukemia, Myeloid, Acute	Leukemia, Myelogenous, Chronic, BCR-ABL Positive	Myelodysplastic Syndromes	Myopia	Amyotrophic Lateral Sclerosis	Frontotemporal Lobar Degeneration	Psoriasis	Burkitt Lymphoma	Cleft Lip	Hodgkin Disease	Plasmacytoma	Rhabdomyosarcoma	Dyskeratosis Congenita	Mucocutaneous Lymph Node Syndrome	Angelman Syndrome	Pancreaticobiliary Maljunction	Neoplasms, Squamous Cell	Klinefelter Syndrome	Carcinoma, Renal Cell	Polycystic Ovary Syndrome	Multiple Myeloma	Esophageal Neoplasms	Kidney Failure, Chronic	Colitis, Ulcerative	Hemangioma	Gastrointestinal Stromal Tumors	Pneumoconiosis	Asthma	Lupus Erythematosus, Systemic	Hypertension	Pulmonary Arterial Hypertension	Hepatoblastoma	Leukemia, Promyelocytic, Acute	Vitreoretinopathy, Proliferative	Diabetic Retinopathy	Retinoblastoma	Osteoarthritis	Cardiomyopathy, Dilated	Metabolic Syndrome	Nephrolithiasis	Asthenozoospermia	Intervertebral Disc Degeneration	Cholangiocarcinoma	Head and Neck Neoplasms	Anemia, Aplastic	Exfoliation Syndrome	Congenital Microtia	Astrocytoma	Hirschsprung Disease	Liver Cirrhosis	Neuroectodermal Tumors, Primitive, Peripheral	Acute Kidney Injury	Leukemia, Myeloid	Primary Myelofibrosis	Lymphoma, Mantle-Cell	Lymphoma, B-Cell
Glioma	1	0.0666666666666667	0	0.309734513274336	0	0.0292397660818713	0	0	0	0.318181818181818	0.0666666666666667	0	0.0410958904109589	0.0251572327044025	0.123809523809524	0	0	0.319148936170213	0	0	0	0	0	0	0.240875912408759	0	0.165354330708661	0.120689655172414	0	0.129449838187702	0	0	0.0210526315789474	0	0	0.0779220779220779	0.116022099447514	0.186440677966102	0.0315315315315315	0.290780141843972	0.0282485875706215	0.127659574468085	0	0.143790849673203	0.0228571428571429	0.239583333333333	0.0219435736677116	0	0.678391959798995	0	0	0.0424242424242424	0.604938271604938	0.221052631578947	0	0.410385259631491	0	0.235494880546075	0.0336817653890825	0	0	0	0.216783216783217	0.037037037037037	0	0	0	0	0	0	0.104895104895105	0.0292397660818713	0.104895104895105	0.0867052023121387	0	0	0	0	0	0.0618556701030928	0	0.130434782608696	0.124260355029586	0.0789473684210526	0	0	0	0	0.319148936170213	0	0.12565445026178	0.0430769230769231	0.0893617021276596	0.0452261306532663	0	0	0.148936170212766	0.0837988826815642	0	0	0	0	0	0.148936170212766	0.0833333333333333	0	0	0.433628318584071	0	0	0	0	0	0	0.166666666666667	0.0802919708029197	0	0	0	0.791530944625407	0	0	0.478827361563518	0	0.148936170212766	0	0.0980392156862745	0.0980392156862745
Barrett Esophagus	0.0666666666666667	1	0	0.344827586206897	0	0.0574712643678161	0	0	0	0.0726256983240224	0.0952380952380952	0	0.0630630630630631	0.0555555555555556	0.248826291079812	0	0	0.0833333333333333	0	0	0	0	0	0	0.114285714285714	0	0.0542635658914729	0.0723404255319149	0	0.0571428571428571	0	0	0.139896373056995	0	0	0.0573248407643312	0.0652173913043478	0.0888888888888889	0.0533333333333333	0.0833333333333333	0.0555555555555556	0.0471204188481675	0	0.0705128205128205	0.050561797752809	0.0769230769230769	0.144615384615385	0.0571428571428571	0.0574712643678161	0	0	0.142857142857143	0.0666666666666667	0.0673575129533679	0	0.0574712643678161	0	0.0568561872909699	0.0561282932416953	0	0	0	0.0684931506849315	0.125	0	0	0	0	0	0	0.0684931506849315	0.103448275862069	0.0684931506849315	0.0568181818181818	0	0	0	0	0	0.0456852791878173	0	0.0731707317073171	0.0697674418604651	0.0580645161290323	0	0	0	0.0769230769230769	0.0833333333333333	0	0.0463917525773196	0.0725075528700906	0.0504201680672269	0.346534653465347	0	0.113513513513514	0.0833333333333333	0.186813186813187	0	0	0	0	0	0.0833333333333333	0.0612244897959184	0	0	0.0480349344978166	0	0	0	0	0	0	0.0612244897959184	0.114285714285714	0	0	0	0.060702875399361	0.12568306010929	0.0714285714285714	0.060702875399361	0	0.0833333333333333	0	0.0641025641025641	0.0641025641025641
Atherosclerosis	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0909090909090909	0.0697674418604651	0	0.223880597014925	0	0	0.150943396226415	0	0	0	0.107142857142857	0	0	0.686274509803922	0	0.132352941176471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.103448275862069	0	0	0	0	0	0	0.0833333333333333	0	0	0	0	0	0	0	0	0.254237288135593	0	0	0	0	0.1125	0	0	0.0434782608695652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Neoplasms	0.309734513274336	0.344827586206897	0	1	0	0.278688524590164	0	0	0	0.291338582677165	0.344827586206897	0	0.223529411764706	0.3	0.217391304347826	0	0	0.391304347826087	0	0	0	0	0	0	0.454545454545455	0	0.243816254416961	0.224043715846995	0	0.312796208530806	0	0	0.234042553191489	0	0	0.314285714285714	0.272727272727273	0.3125	0.208092485549133	0.391304347826087	0.265625	0.237410071942446	0	0.336538461538462	0.261904761904762	0.272727272727273	0.294117647058824	0	0.326683291770574	0	0	0.310344827586207	0.309734513274336	0.26241134751773	0	0.326683291770574	0	0.333333333333333	0.218045112781955	0	0	0	0.361702127659574	0.257142857142857	0	0	0	0	0	0	0.361702127659574	0.278688524590164	0.361702127659574	0.274193548387097	0	0	0	0	0	0.227586206896552	0	0.321428571428571	0.3	0.320388349514563	0	0	0	0	0.391304347826087	0	0.232394366197183	0.317180616740088	0.193548387096774	0.253333333333333	0	0	0.391304347826087	0.261538461538462	0	0	0	0	0	0.391304347826087	0.347368421052632	0	0	0.19774011299435	0	0	0	0	0	0	0.347368421052632	0.454545454545455	0	0	0	0.320574162679426	0	0	0.320574162679426	0	0.391304347826087	0	0.326923076923077	0.326923076923077
Periodontitis	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0353982300884956	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prostatic Neoplasms	0.0292397660818713	0.0574712643678161	0	0.278688524590164	0	1	0	0	0	0.0378378378378378	0.172413793103448	0	0.421052631578947	0.125	0.0684931506849315	0	0	0.04	0	0	0	0	0	0	0.0684931506849315	0	0.0476190476190476	0.045643153526971	0	0.018348623853211	0	0	0.0452261306532663	0	0	0.0184049079754601	0.0315789473684211	0.0537634408602151	0.147186147186147	0.04	0.193548387096774	0.0456852791878173	0	0.0308641975308642	0.114130434782609	0.0447761194029851	0.0445103857566766	0	0.0173775671406003	0	0.206896551724138	0.103448275862069	0.0292397660818713	0.0653266331658292	0	0.0173775671406003	0	0.0160771704180064	0.0836120401337793	0	0	0	0.0263157894736842	0.0909090909090909	0	0	0	0	0	0	0.0263157894736842	0.0666666666666667	0.0263157894736842	0.021978021978022	0	0	0	0	0	0.0147783251231527	0	0.0352941176470588	0.0337078651685393	0.0186335403726708	0	0	0	0	0.04	0.029126213592233	0.135	0.0349854227405248	0.0245901639344262	0.115384615384615	0.0323624595469256	0	0.04	0.0212765957446809	0	0	0	0	0	0.04	0.0196078431372549	0	0	0.0553191489361702	0	0	0	0.0465116279069767	0.118421052631579	0	0.0196078431372549	0.205479452054795	0	0	0	0.0215384615384615	0	0	0.0215384615384615	0.0387096774193548	0.04	0	0.0246913580246914	0.0246913580246914
Fragile X Syndrome	0	0	0	0	0	0	1	0.0344827586206897	0.0167597765363128	0	0	0.190839694656489	0	0	0	0	0	0	0	0	0	0.00952380952380952	0	0	0	0	0	0.208333333333333	0	0.0134048257372654	0.0160427807486631	0	0	0	0.105263157894737	0	0	0	0	0	0	0	0.274111675126904	0	0	0	0	0.0418410041841004	0	0.0498960498960499	0	0	0	0.0135135135135135	0.149171270718232	0	0	0	0.0101112234580384	0.385214007782101	0	0.224066390041494	0	0	0	0.0267379679144385	0	0.213592233009709	0.0113636363636364	0.036697247706422	0	0	0	0	0	0	0.0212765957446809	0.032258064516129	0	0	0.0591133004926108	0	0	0	0.2109375	0	0.262222222222222	0.0853080568720379	0	0.222707423580786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.155440414507772	0	0.0849056603773585	0	0	0	0	0	0	0
Alzheimer Disease	0	0	0	0	0	0	0.0344827586206897	1	0.0512820512820513	0	0	0.364016736401674	0	0	0	0	0	0	0	0	0	0.133689839572193	0	0	0	0	0	0.141078838174274	0	0.0458715596330275	0.195121951219512	0	0	0	0.0419161676646707	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0402010050251256	0.0886075949367089	0	0	0	0.127090301003344	0.0341880341880342	0	0	0	0	0	0.0609756097560976	0	0.0382513661202186	0.0457516339869281	0.261538461538462	0	0	0	0	0	0	0.179245283018868	0.43298969072165	0	0	0	0	0	0	0	0	0.108910891089109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Myositis, Inclusion Body	0	0	0	0	0	0	0.0167597765363128	0.0512820512820513	1	0	0	0.0418604651162791	0	0	0	0	0	0	0	0	0	0.0184049079754601	0	0	0	0	0	0.0645161290322581	0	0.0609318996415771	0.0285714285714286	0	0	0.175438596491228	0.188811188811189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0228571428571429	0.0746268656716418	0	0	0	0.017478152309613	0.019047619047619	0	0.0412371134020619	0	0	0.0860215053763441	0.0428571428571429	0	0.169811320754717	0.0232558139534884	0.0526315789473684	0	0	0	0	0	0	0.0957446808510638	0.0470588235294118	0	0	0	0	0	0	0	0	0.0337078651685393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.106666666666667	0	0	0	0	0.0634920634920635	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Melanoma	0.318181818181818	0.0726256983240224	0	0.291338582677165	0	0.0378378378378378	0	0	0	1	0.0726256983240224	0	0.0472103004291846	0.0346820809248555	0.0892857142857143	0	0	0.174193548387097	0	0	0	0	0	0	0.258278145695364	0	0.105134474327628	0.138211382113821	0	0.154302670623145	0	0	0.0294117647058824	0	0	0.107142857142857	0.138461538461538	0.204188481675393	0.038135593220339	0.303225806451613	0.0366492146596859	0.0891089108910891	0	0.167664670658683	0.0317460317460317	0.194174757281553	0.031700288184438	0	0.228177641653905	0	0	0.0502793296089385	0.318181818181818	0.235294117647059	0	0.228177641653905	0	0.401869158878505	0.0403489640130862	0	0	0	0.133757961783439	0.0443349753694581	0	0	0	0	0	0	0.133757961783439	0.0378378378378378	0.133757961783439	0.112299465240642	0	0	0	0	0	0.0865384615384615	0	0.154285714285714	0.147540983606557	0.108433734939759	0	0	0	0	0.174193548387097	0	0.0878048780487805	0.0509915014164306	0.108433734939759	0.0516431924882629	0	0	0.174193548387097	0.10880829015544	0	0	0	0	0	0.174193548387097	0.113924050632911	0	0	0.233333333333333	0	0	0	0	0	0	0.113924050632911	0.0860927152317881	0	0	0	0.259701492537313	0	0	0.259701492537313	0	0.174193548387097	0	0.125748502994012	0.125748502994012
Breast Neoplasms	0.0666666666666667	0.0952380952380952	0	0.344827586206897	0	0.172413793103448	0	0	0	0.0726256983240224	1	0	0.189189189189189	0.166666666666667	0.154929577464789	0	0	0.0833333333333333	0	0	0	0	0	0	0.114285714285714	0	0.142118863049096	0.0723404255319149	0	0.0571428571428571	0	0	0.139896373056995	0	0	0.0573248407643312	0.0652173913043478	0.0888888888888889	0.16	0.0833333333333333	0.166666666666667	0.141361256544503	0	0.0705128205128205	0.151685393258427	0.0769230769230769	0.156923076923077	0	0.0574712643678161	0	0	0.214285714285714	0.0666666666666667	0.160621761658031	0	0.0574712643678161	0	0.0568561872909699	0.168384879725086	0	0	0	0.0684931506849315	0.1875	0.0392156862745098	0	0	0	0	0	0.0684931506849315	0.172413793103448	0.0684931506849315	0.0568181818181818	0	0	0	0	0.166666666666667	0.0456852791878173	0	0.0731707317073171	0.0697674418604651	0.0580645161290323	0.105726872246696	0.122448979591837	0	0	0.0833333333333333	0	0.139175257731959	0.0725075528700906	0.0504201680672269	0.207920792079208	0	0	0.0833333333333333	0.0549450549450549	0	0	0.0731707317073171	0	0	0.0833333333333333	0.0612244897959184	0	0	0.135371179039301	0	0	0	0	0	0	0.0612244897959184	0.342857142857143	0	0	0	0.060702875399361	0	0	0.060702875399361	0	0.0833333333333333	0	0.0641025641025641	0.0641025641025641
